Gen	theta_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	theta_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	theta_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	theta_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_14NeaDen	theta_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	theta_16Spain_EURChinese_EASPeru_AMR	theta_17Chinese_EASPeru_AMR	tau_10NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGorOrang	tau_11NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimpGor	tau_12NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMRChimp	tau_13NeaDenYoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_14NeaDen	tau_15Yoruba_AFRSpain_EURChinese_EASPeru_AMR	tau_16Spain_EURChinese_EASPeru_AMR	tau_17Chinese_EASPeru_AMR	lnL
2	0.24678	0.0028774	0.0053501	0.0040641	0.0026981	0.0027772	0.00076953	0.0011643	0.010974	0.0080579	0.0066466	0.0017881	0.0017872	0.00028103	0.00012297	4.6442e-05	-16565632.352
4	0.24722	0.0028776	0.0053447	0.0040641	0.0027553	0.0027772	0.00076953	0.0011643	0.010975	0.0080575	0.0066534	0.0017881	0.0017872	0.00028103	0.00012297	4.6442e-05	-16565959.092
6	0.24712	0.0028828	0.0053482	0.0040686	0.0026387	0.0026694	0.00077039	0.0013306	0.010992	0.0080611	0.0066639	0.0017901	0.0017892	0.00028135	0.0001231	4.0729e-05	-16565967.056
8	0.2473	0.0028815	0.0053559	0.0040686	0.0022061	0.0026694	0.00077039	0.0013306	0.011001	0.0080648	0.0066544	0.0017901	0.0017892	0.00028135	0.0001231	4.0729e-05	-16566087.732
10	0.247	0.0030672	0.0053592	0.0040686	0.0025685	0.0026694	0.00077039	0.0013306	0.011008	0.0080626	0.0066503	0.0017901	0.0017892	0.00028135	0.0001231	4.0729e-05	-16565793.431
12	0.24641	0.0030589	0.0053788	0.0040586	0.0022733	0.0026628	0.0007685	0.0013273	0.010981	0.0080447	0.0066277	0.0017857	0.0017848	0.00028066	0.0001228	4.0629e-05	-16566002.550
14	0.24625	0.0030635	0.0052759	0.0040588	0.0023561	0.0026628	0.0007685	0.0013273	0.010984	0.0080327	0.0066337	0.0017856	0.0017848	0.00028066	0.0001228	4.0629e-05	-16565572.521
16	0.2469	0.0030656	0.005288	0.0040588	0.0029174	0.0026628	0.00078079	0.0013273	0.010988	0.0080272	0.0066185	0.0017856	0.0017848	0.00028066	0.00012087	4.0629e-05	-16566039.840
18	0.24664	0.00306	0.0054933	0.0040588	0.0030784	0.0026628	0.00078079	0.0013273	0.010993	0.0080418	0.0066265	0.0017856	0.0017848	0.00028066	0.00012087	4.0629e-05	-16566064.186
20	0.2465	0.0030595	0.0054956	0.0040588	0.003398	0.0026628	0.00078079	0.0013273	0.010998	0.0080433	0.0066236	0.0017856	0.0017848	0.00028066	0.00012087	4.0629e-05	-16565725.985
22	0.24599	0.0030616	0.0054886	0.0040588	0.0031269	0.0026628	0.00078079	0.0013273	0.011003	0.0080376	0.0066321	0.0017856	0.0017848	0.00028066	0.00012087	4.0629e-05	-16565726.264
24	0.24487	0.0030502	0.0051968	0.004042	0.0025684	0.0026518	0.00077756	0.0013218	0.010972	0.0080011	0.0066133	0.0017782	0.0017774	0.0002795	0.00012037	4.0461e-05	-16565731.042
26	0.24534	0.003048	0.00519	0.004201	0.0025786	0.0026507	0.00077725	0.0013213	0.010968	0.0080004	0.0066164	0.0017775	0.0017767	0.00027938	0.00012032	4.0444e-05	-16565479.866
28	0.24543	0.003048	0.005188	0.004201	0.0023513	0.0026507	0.00077725	0.0013213	0.010975	0.0080004	0.006619	0.0017775	0.0017767	0.00027938	0.00012032	4.0444e-05	-16565394.171
30	0.24552	0.003044	0.005178	0.0041975	0.0024071	0.0026485	0.00077659	0.0013202	0.010975	0.0079975	0.0066206	0.001776	0.0017752	0.00027915	0.00012022	4.041e-05	-16565712.764
32	0.24552	0.003045	0.0051756	0.0041975	0.0022966	0.0027079	0.00077659	0.0013202	0.010975	0.0079947	0.0066237	0.001776	0.0017752	0.00027303	0.00012022	4.041e-05	-16565781.400
34	0.24613	0.0030481	0.0051674	0.0041975	0.0024272	0.0026799	0.00077659	0.0012332	0.010975	0.0079866	0.0066343	0.001776	0.0017752	0.00027587	0.00012022	4.3261e-05	-16565831.552
36	0.24583	0.0030392	0.0052721	0.0041903	0.002423	0.0026753	0.00077526	0.0012311	0.010971	0.0079825	0.0066343	0.001773	0.0017721	0.0002754	0.00012001	4.3186e-05	-16565355.776
38	0.24606	0.0030493	0.0052787	0.004198	0.0028722	0.0026802	0.00077669	0.0012333	0.010992	0.0079854	0.0066506	0.0017762	0.0017754	0.00027591	0.00012023	4.3266e-05	-16565898.360
40	0.24667	0.0030462	0.0052937	0.004198	0.0029305	0.0026802	0.00077669	0.0012333	0.010992	0.0079936	0.0066317	0.0017762	0.0017754	0.00027591	0.00012023	4.3266e-05	-16565650.542
42	0.24741	0.0030474	0.0052936	0.004198	0.0034184	0.0026802	0.00077669	0.0013032	0.010991	0.0079903	0.0066318	0.0017762	0.0017754	0.00027591	0.00012023	4.0946e-05	-16565516.539
44	0.24743	0.0030445	0.0053929	0.0041939	0.0028243	0.0026776	0.00077594	0.0015484	0.010986	0.0079826	0.0066295	0.0017745	0.0017737	0.00027564	0.00012012	3.4396e-05	-16565520.641
46	0.24726	0.0030464	0.0054945	0.0041965	0.0026354	0.0026793	0.00069592	0.0015493	0.010999	0.0079875	0.0066287	0.0017756	0.0017748	0.00027581	0.00012019	3.4417e-05	-16565594.877
48	0.24764	0.0030447	0.0055077	0.0041965	0.0024994	0.0026793	0.00076232	0.0015493	0.010999	0.0079918	0.0066129	0.0017756	0.0017748	0.00027581	0.00010972	3.4417e-05	-16565340.427
50	0.24738	0.0030413	0.0054922	0.0041939	0.00282	0.0026776	0.00076185	0.001303	0.010997	0.0079911	0.0066234	0.0017745	0.0017737	0.00027564	0.00010965	4.0873e-05	-16565620.401
52	0.2468	0.0030339	0.0054803	0.0041874	0.0032891	0.0027664	0.00076066	0.001414	0.010984	0.0079855	0.006617	0.0017717	0.0017709	0.00026596	0.00010948	3.7547e-05	-16565467.422
54	0.24788	0.003045	0.0052107	0.0041982	0.003503	0.0027736	0.00076263	0.0013965	0.011016	0.0079976	0.0066549	0.0017763	0.0017755	0.00026665	0.00010977	3.8214e-05	-16565936.631
56	0.24727	0.0030295	0.0051906	0.004182	0.0035211	0.0027629	0.00075969	0.0013912	0.010982	0.0079767	0.0066292	0.0017695	0.0017686	0.00026562	0.00010934	3.8066e-05	-16565441.004
58	0.24767	0.0030256	0.005183	0.004182	0.0038681	0.0027629	0.00078336	0.001111	0.010989	0.007987	0.006639	0.0017695	0.0017686	0.00026562	0.00010604	4.4606e-05	-16565424.405
60	0.2474	0.0030255	0.0051782	0.004182	0.0039031	0.0027629	0.00078336	0.001111	0.010989	0.0079872	0.0066452	0.0017695	0.0017686	0.00026562	0.00010604	4.4606e-05	-16565405.995
62	0.24681	0.0030204	0.0053235	0.004182	0.0034502	0.0027629	0.00078336	0.00094735	0.010991	0.0080007	0.0066482	0.0017695	0.0017686	0.00026562	0.00010604	5.6945e-05	-16565383.897
64	0.24753	0.0030176	0.0051928	0.004182	0.0027714	0.0027629	0.00078336	0.0011785	0.010991	0.0080082	0.0066387	0.0017695	0.0017686	0.00026562	0.00010604	4.1793e-05	-16565271.598
66	0.24769	0.0030226	0.0051835	0.004182	0.0023614	0.0027629	0.00075676	0.0011785	0.010991	0.0079949	0.0066506	0.0017695	0.0017686	0.00026562	0.00010977	4.1793e-05	-16565290.736
68	0.24686	0.0030232	0.0052933	0.0042659	0.0025429	0.0027617	0.00075642	0.001178	0.010986	0.0079861	0.006652	0.0017687	0.0017679	0.0002655	0.00010972	4.1774e-05	-16565445.547
70	0.24748	0.0030232	0.0053005	0.0042659	0.0026584	0.0027617	0.00075642	0.001217	0.010986	0.0079861	0.006643	0.0017687	0.0017679	0.0002655	0.00010972	4.0432e-05	-16565747.408
72	0.24719	0.0030158	0.0052954	0.0042618	0.0027699	0.002759	0.00075569	0.0012159	0.010985	0.0079904	0.0066366	0.001767	0.0017662	0.00026525	0.00010961	4.0393e-05	-16565388.887
74	0.24745	0.0030107	0.0052907	0.0042618	0.0032325	0.002759	0.00075569	0.0008286	0.010985	0.0080038	0.0066424	0.001767	0.0017662	0.00026525	0.00010961	5.9273e-05	-16565751.175
76	0.24759	0.0030152	0.005315	0.00427	0.0036561	0.0027644	0.00075715	0.00099861	0.011013	0.0080229	0.0066376	0.0017704	0.0017696	0.00026576	0.00010982	4.9372e-05	-16565680.398
78	0.24684	0.003004	0.0053038	0.0042609	0.003232	0.0027585	0.00075554	0.00095879	0.010998	0.0080186	0.0066233	0.0017666	0.0017658	0.00026519	0.00010959	5.1203e-05	-16565376.357
80	0.24689	0.0030028	0.0053103	0.0042609	0.0029916	0.0027585	0.00075554	0.0011569	0.010998	0.0080216	0.0066152	0.0017666	0.0017658	0.00026519	0.00010959	4.2436e-05	-16565422.442
82	0.24617	0.0029962	0.0052968	0.0042526	0.0028694	0.0027531	0.00075407	0.00089534	0.010991	0.0080081	0.0066062	0.0017632	0.0017624	0.00026467	0.00010938	5.4618e-05	-16565719.444
84	0.24565	0.0029919	0.0052724	0.0042428	0.0028754	0.0027468	0.00075233	0.0010948	0.010966	0.0079827	0.0066063	0.0017591	0.0017583	0.00026407	0.00010912	4.4463e-05	-16565455.345
86	0.2451	0.0029935	0.0052652	0.0042428	0.0034243	0.0027468	0.00075233	0.00092432	0.010975	0.0079785	0.0066154	0.0017591	0.0017583	0.00026407	0.00010912	5.2663e-05	-16565083.964
88	0.2462	0.0030002	0.0052759	0.0042524	0.0034408	0.0027529	0.00075403	0.0010404	0.010992	0.0079964	0.0066316	0.0017631	0.0017623	0.00026466	0.00010937	4.6996e-05	-16565033.372
90	0.24599	0.0029968	0.0052695	0.0042524	0.0032749	0.0027529	0.00075403	0.0011591	0.010992	0.0080055	0.0066398	0.0017631	0.0017623	0.00026466	0.00010937	4.2187e-05	-16564873.435
92	0.24609	0.0029956	0.0055202	0.0042534	0.0034022	0.0027536	0.0007542	0.00092823	0.010999	0.0080126	0.006653	0.0017635	0.0017627	0.00026472	0.00010939	5.2702e-05	-16564900.313
94	0.24584	0.002988	0.0053812	0.0042455	0.0030826	0.0027485	0.0007528	0.00092651	0.010986	0.008003	0.0066453	0.0017602	0.0017594	0.00026423	0.00010919	5.2604e-05	-16565386.258
96	0.24652	0.0029896	0.0053859	0.0042539	0.0027042	0.0027539	0.0007543	0.00092835	0.011	0.0080308	0.0066659	0.0017637	0.0017629	0.00026476	0.00010941	5.2709e-05	-16565449.044
98	0.24699	0.0029868	0.0053968	0.0042539	0.0026874	0.0027539	0.0007543	0.00083287	0.011	0.0080383	0.0066524	0.0017637	0.0017629	0.00026476	0.00010941	5.8752e-05	-16565666.862
100	0.24661	0.0029896	0.0053919	0.0042539	0.0024315	0.0027539	0.0007543	0.00096489	0.011013	0.0080306	0.0066585	0.0017637	0.0017629	0.00026476	0.00010941	5.0713e-05	-16565268.491
102	0.24792	0.0029992	0.0054023	0.0042684	0.0027658	0.0027633	0.00075687	0.00096818	0.011051	0.0080596	0.0066911	0.0017697	0.0017689	0.00026566	0.00010978	5.0886e-05	-16565105.571
104	0.24689	0.0029848	0.0053923	0.0042533	0.0025821	0.0027535	0.00075419	0.0010853	0.011018	0.0080413	0.006656	0.0017635	0.0017626	0.00026472	0.00010939	4.5075e-05	-16564988.940
